Id,Id2,Geography,Estimate; Total:, United Kingdom ,England,France,Scotland, Ireland,Denmark,Norway, Sweden,Estimate; Europe: - Western Europe:, Austria, Belgium, Germany, Netherlands,Switzerland,Greece,Italy, Portugal,Azores Islands, Spain,Albania, Belarus,Bulgaria,Croatia,Czechoslovakia (includes Czech Republic and Slovakia),Hungary,Latvia,Lithuania, Macedonia, Moldova, Poland, Romania,Russia,Ukraine,Bosnia and Herzegovina,Serbia,China,Hong Kong,Taiwan,Japan,Korea,Afghanistan, Bangladesh, India,Iran, Kazakhstan,Nepal,Pakistan, Sri Lanka, Uzbekistan, Cambodia, Indonesia, Laos, Malaysia,Burma, Philippines,Singapore, Thailand,Vietnam, Iraq,Israel,Jordan,Kuwait, Lebanon,Saudi Arabia, Syria,Yemen,Turkey,Armenia, Eritrea,Ethiopia,Kenya,Somalia,Cameroon,Egypt,Morocco,Sudan,South Africa, Cabo Verde, Ghana, Liberia,Nigeria,Sierra Leone,Africa, Australia,New Zealand,Fiji,Caribbean,Bahamas,Barbados,Cuba, Dominica, Dominican Republic, Grenada, Haiti, Jamaica,St. Vincent and the Grenadines, West Indies,Mexico,Belize, Costa Rica, El Salvador, Guatemala,Honduras, Nicaragua,Panama, Argentina,Bolivia, Brazil,Chile,Colombia,Ecuador, Guyana,Peru, Uruguay,Venezuela,Canada
0400000US24,24,Maryland,857804,13474,6172,4490,932,1413,666,247,678,20227,731,960,12164,1183,699,4394,4470,1681,25,2177,691,1517,1232,574,1723,1278,717,762,113,397,3949,2204,10400,6470,490,694,53559,3465,9454,5141,37266,1284,5019,55793,11504,792,5621,15454,2827,1317,1344,2428,678,1341,3863,38270,592,3468,19135,1157,2872,789,601,1759,1149,987,57,3098,547,2299,19694,4866,715,13572,2552,2047,1164,1990,40,13232,6574,29567,8403,6502,1456,2012,58,67014,620,1393,3690,675,10064,1506,7978,24610,634,1086,38589,485,2053,102033,31363,21171,5516,2996,3654,7203,8689,3712,11010,4562,8472,15869,1278,2620,9321
0400000US25,25,Massachusetts,1038127,23259,9960,6549,2117,15083,750,520,1807,25918,1339,1147,13013,2508,1296,11494,19253,55966,13756,3430,9574,2495,2769,352,1271,1409,1031,1651,245,2891,11236,3024,19418,9474,1900,981,96709,7756,8062,7534,18743,621,2918,57691,5371,746,5176,4822,1556,810,15336,1597,2685,1443,1723,10605,1443,5037,35720,2911,3987,983,837,7058,2446,2202,33,4850,1795,798,3995,8581,2353,1714,4634,7458,743,2705,24914,7310,2250,6698,1143,2824,2438,3299,82,164152,257,4363,2886,1892,77276,350,50371,16173,514,1203,13201,306,1812,34092,27954,11057,1009,1881,3153,1459,60211,2969,20823,5889,2552,8068,2193,3877,30587
0400000US26,26,Michigan,622863,15214,6893,2621,2322,1156,538,411,692,28712,1120,1056,18932,4359,595,3758,10345,227,56,1255,10965,587,1179,988,1234,1074,1012,759,2798,283,11864,9063,7337,6008,7087,1190,37810,1365,4512,9348,20267,209,12860,58102,2915,371,1709,8653,1056,402,996,908,2859,1277,2273,18785,396,2722,12699,49645,2044,3561,1223,19725,4131,4999,12162,1268,316,226,1798,1476,1025,456,3138,490,437,1337,8,1114,1380,4375,638,1436,1528,2127,69,13879,440,190,3187,53,3116,90,1637,3654,40,76,76010,312,457,3267,7381,2022,263,646,1906,208,3578,552,2358,696,718,1684,161,1150,39081
0400000US27,27,Minnesota,418676,6040,3142,1447,604,683,330,780,949,9885,514,279,6221,883,540,371,936,149,20,763,270,2249,555,186,666,397,684,88,37,1235,1559,1025,6331,4407,2650,294,20323,1460,2365,2102,13773,194,940,26720,1705,595,1511,1695,984,188,4832,663,25612,872,5828,8153,241,16395,18591,1554,539,643,215,793,1297,450,136,824,59,1167,16459,8321,25027,1609,1620,624,2281,1031,11,2644,11843,5665,813,2068,1002,1374,78,5535,155,59,943,93,725,29,952,1693,21,51,67407,193,534,5986,5893,3574,705,657,1140,209,1965,1205,4204,5514,2971,1473,136,564,12357
0400000US28,28,Mississippi,69147,1456,822,200,118,181,22,102,45,2454,89,69,1940,150,6,78,300,227,0,134,0,29,35,57,110,38,48,50,0,18,279,120,416,202,198,114,3368,146,360,813,1685,17,216,4197,332,31,223,440,293,0,33,133,165,90,34,3153,30,452,4881,53,44,148,6,78,58,54,458,200,0,0,324,29,54,189,9,197,196,213,0,197,87,429,59,140,186,230,14,2712,131,6,747,27,443,45,99,780,21,68,23935,157,98,971,2259,2145,241,321,183,34,318,121,547,166,95,868,18,314,1560
0400000US29,29,Missouri,237480,5139,2378,941,484,670,103,106,305,11092,373,289,8768,523,198,457,1425,171,5,759,944,957,812,593,526,723,176,120,48,537,1119,1444,4203,2540,10006,230,18059,674,2477,2098,7481,1132,928,16831,1751,239,897,3162,402,924,830,433,1134,423,832,9727,223,1804,11325,2046,613,711,368,723,1985,202,241,540,229,550,2711,2839,1325,77,800,267,972,855,57,775,846,2383,85,1332,597,993,392,6735,269,103,2806,60,746,53,735,1246,16,47,43771,127,225,3759,5631,2411,771,785,829,286,1581,413,1432,486,270,1366,75,1084,5629
0400000US30,30,Montana,20985,1272,739,118,123,62,139,221,115,2833,183,44,1945,371,172,60,116,20,0,63,5,69,24,14,113,99,14,0,0,39,141,153,416,137,36,33,1245,85,61,545,887,0,81,342,59,43,85,90,23,6,28,68,59,46,25,986,5,243,220,32,3,0,4,29,274,0,0,57,0,0,88,72,0,4,69,3,0,126,0,97,25,68,0,45,144,316,2,317,0,0,70,0,22,0,50,99,24,0,2257,41,38,90,88,138,38,91,144,0,86,20,176,21,48,195,0,107,4225
0400000US31,31,Nebraska,123351,1791,1235,217,133,130,95,70,31,2306,50,27,1871,99,33,144,377,79,0,163,35,126,28,70,179,81,189,194,0,0,278,320,615,722,639,25,4555,201,368,772,2226,334,84,4834,484,0,1265,234,84,23,121,205,484,389,2179,1895,23,2233,6928,1569,140,132,26,142,525,354,23,218,0,166,640,651,1316,294,383,78,1545,269,0,70,159,457,27,1056,155,291,9,3794,9,16,2623,0,277,5,333,193,0,30,48588,104,60,4594,7158,1489,312,160,175,64,634,98,579,223,17,560,12,277,1457
0400000US32,32,Nevada,537252,7524,4348,1716,668,833,390,370,377,10056,386,345,6313,858,326,899,2589,342,14,721,150,138,2453,757,699,1504,56,436,163,187,2076,1386,3197,1259,1312,624,21833,1858,3737,4579,10847,591,782,7528,4384,130,483,1419,880,46,1529,976,1715,588,514,75908,258,6130,9191,1341,2263,752,293,1401,319,521,34,674,1393,535,8116,549,382,113,888,582,286,616,0,376,272,438,34,973,1032,1677,337,18777,159,69,14327,115,1833,11,554,1034,0,49,225730,506,992,24377,11544,3302,3365,1034,2499,381,2364,1843,3332,1158,161,4484,309,584,9668
0400000US33,33,New Hampshire,75745,3997,1682,710,607,674,61,111,194,4032,162,75,2427,428,227,1162,701,1103,130,160,259,84,207,51,229,321,61,139,0,29,852,1031,1166,540,1263,83,5241,449,536,505,1866,0,246,6824,242,85,1426,554,94,41,604,819,448,156,60,1907,56,484,1952,417,401,245,61,466,343,45,0,350,14,9,318,463,364,76,242,296,455,344,6,170,60,280,7,334,285,365,12,4657,4,63,213,4,2523,0,915,742,0,6,2602,17,119,822,1040,505,119,175,136,53,2026,191,1187,456,47,320,388,316,9302
0400000US34,34,New Jersey,1929119,26190,11821,6789,2904,7997,1107,1054,1170,37687,2358,1185,22880,2482,1784,9316,42470,32050,90,8756,4257,2606,2995,2510,5338,5126,1240,1759,4417,1716,50548,6810,20683,19080,1359,1707,92344,9669,16602,10020,71300,2063,12628,231975,6235,738,1523,23827,2892,1619,1110,1898,529,2193,1349,87967,1117,2704,19263,1157,8119,4313,1144,4095,1855,5159,378,13277,920,327,1617,5158,0,1189,29205,3807,617,2965,527,12694,5555,14216,2580,6324,2279,2730,326,305923,614,3595,44461,2866,145397,1044,42257,43565,901,1303,124690,1414,12276,44474,43833,30391,6217,3370,11247,2732,29578,6953,78678,79892,21475,57891,8596,6592,14910
0400000US35,35,New Mexico,203704,3173,1551,827,269,346,102,40,179,7045,219,119,5098,597,158,195,564,40,16,473,8,47,70,68,208,262,48,122,26,31,446,346,860,350,45,98,4478,198,1076,1110,1531,290,50,2806,965,34,174,366,110,91,91,322,331,44,77,3852,91,840,3363,861,188,119,20,194,233,71,0,139,30,0,397,133,16,68,216,108,67,439,0,35,0,464,0,331,284,417,4,3261,21,0,2275,0,491,0,49,292,12,18,144493,45,372,1725,2522,1079,268,384,403,233,465,391,805,506,13,479,16,261,3309
0400000US36,36,New York,4422712,61002,28442,25576,4928,29602,2214,2193,4475,95711,6911,4818,47002,5877,5259,31433,101016,11428,60,13753,22708,14700,6847,7566,9173,11331,3573,3401,4936,5592,77143,20232,81098,78944,7967,4399,444503,41499,32324,30148,98803,7235,88207,155340,18378,3859,10076,64094,6076,25657,3827,6108,2455,10565,14239,88269,3153,12429,25279,5315,32324,4841,1389,6861,2444,6493,13019,19280,3010,1167,5031,3537,2037,1439,23513,8254,2367,5640,418,31851,5162,27318,3956,14220,9583,11912,214,1080282,1940,26563,27346,9858,469657,21325,132040,234892,15123,12663,241888,8861,8079,114719,61699,50058,8708,20342,20175,4698,24219,10935,102316,176804,164107,53823,5120,12653,55912
0400000US37,37,North Carolina,757982,18408,9282,2943,1428,1731,559,240,1388,23071,792,806,16052,1662,781,2492,3162,717,57,1710,521,496,1148,587,1132,1310,415,246,20,1771,3216,2409,6065,4366,2173,366,28442,1647,3739,4544,14590,429,1157,50701,3125,741,2678,5884,911,535,2203,1185,6608,1295,3687,16314,459,5699,23729,1470,1358,2107,505,1395,612,594,1301,1978,112,920,2916,2849,1304,620,2934,1884,1937,3178,61,3393,3018,4708,978,4044,1388,1896,48,33762,686,790,6739,213,9370,267,3194,8188,141,447,251065,663,3360,30871,21697,27249,3724,3410,2668,315,4468,1673,13879,5720,2588,6372,1008,4235,17079
0400000US38,38,North Dakota,22827,333,167,30,64,33,15,164,28,823,35,39,685,27,7,33,59,6,2,54,0,0,41,26,37,19,74,3,19,44,140,77,316,203,1081,51,1442,24,48,185,276,0,109,1623,91,1,560,105,264,19,22,90,7,6,0,1184,9,149,589,629,0,105,26,65,24,9,0,63,0,53,206,382,615,97,46,0,276,129,0,274,265,304,83,221,43,60,0,503,19,6,98,0,146,0,7,169,9,0,1435,0,29,23,320,38,27,43,34,18,371,0,349,49,15,89,0,62,2736
0400000US39,39,Ohio,476577,12971,6507,2543,1428,1681,457,206,636,22812,1521,638,16088,1269,679,3584,8879,380,8,1060,2476,1394,1452,3106,1584,3454,756,960,1507,483,5030,6278,9240,9165,3223,1604,38642,1540,5047,7844,12794,336,1055,50629,3752,459,2985,3213,1118,1943,3101,1499,2219,973,1642,12867,512,3096,10886,3247,2101,3139,1625,4486,4605,2537,166,1960,177,1245,4807,4104,9299,1664,3488,1700,679,1363,57,7007,1567,3506,1747,3782,1107,1682,69,13221,215,228,1659,107,3413,33,1020,4722,30,147,47732,88,546,5113,7516,2798,698,814,1111,343,2985,544,3737,1182,1285,2706,225,2203,14789
0400000US40,40,Oklahoma,221901,3679,2036,551,270,217,143,124,75,6611,254,51,5275,395,85,218,511,64,0,333,93,67,117,48,205,169,161,17,64,110,562,327,1260,493,129,67,7749,240,907,1355,4969,18,884,8094,2108,69,627,1427,266,31,533,799,2339,893,2315,4871,142,1785,13861,686,196,403,91,499,1058,301,11,346,16,150,653,1176,5,648,456,506,282,426,7,1059,447,1527,0,363,281,411,12,2599,221,12,944,26,163,95,172,569,0,38,107750,139,218,2700,8406,3239,132,483,145,141,686,233,1142,288,147,1094,49,1487,3924
0400000US41,41,Oregon,388685,11124,5764,1509,1159,1123,617,543,719,14027,517,448,8637,1958,951,381,906,296,21,504,265,440,689,331,983,504,233,234,37,963,1046,4126,5448,8960,1121,80,24218,2192,2915,6116,12249,383,359,12869,3270,961,657,710,277,892,2934,1396,3765,606,727,11763,331,3435,20508,1333,610,439,516,571,1164,569,136,606,281,660,2239,1591,2151,72,749,253,67,1101,0,323,380,759,26,421,1743,2492,1346,3386,2,86,1707,23,376,0,434,455,9,22,152859,78,649,3983,5681,1004,665,424,1218,308,1737,676,1278,709,134,1669,85,773,15094
0400000US42,42,Pennsylvania,800519,22595,10089,4375,2231,4817,608,656,1241,29818,1531,1015,19968,2020,869,6176,19347,2554,9,2075,5546,2527,2061,1194,2765,2404,769,1010,250,1290,14065,4976,15082,19232,3525,692,66869,2809,5897,5580,28787,799,6150,77425,3884,1323,3687,8970,1264,2565,8635,2779,1896,1529,2421,19748,570,3905,34757,2161,3496,1109,509,2398,3139,3820,363,4096,566,689,2871,3206,504,911,4567,3055,1197,2555,69,3945,10366,5617,2954,3690,1922,2581,326,99715,517,1892,5524,521,47462,443,13960,19107,456,685,56828,419,2085,6241,12433,7376,1575,2183,3343,517,7843,2530,11179,8050,4407,6533,837,2719,15050
